4 1 || 0 | 0 | 1
3 d || 1 | 1 | 1
5 2 || 0 | 0 | 1
d 6 || 0 | 0 | 1
d c || 0 | 0 | 1
6 5 || 1 | 1 | 1
5 7 || 0 | 0 | 1
f 2 || 1 | 1 | 1
8 5 || 1 | 1 | 1
d d || 1 | 1 | 1
3 a || 1 | 1 | 1
0 a || 1 | 1 | 1
6 3 || 0 | 0 | 1
3 b || 1 | 1 | 1
2 e || 1 | 1 | 1
f 3 || 0 | 0 | 1
a c || 0 | 0 | 1
a 1 || 1 | 1 | 1
8 9 || 0 | 0 | 1
6 6 || 0 | 0 | 1
c a || 1 | 1 | 1
1 5 || 1 | 1 | 1
b a || 1 | 1 | 1
5 1 || 1 | 1 | 1
2 c || 1 | 1 | 1
f 8 || 0 | 0 | 1
f c || 0 | 0 | 1
9 9 || 0 | 0 | 1
7 1 || 0 | 0 | 1
c 2 || 0 | 0 | 1
7 d || 0 | 0 | 1
e d || 0 | 0 | 1
f 3 || 1 | 1 | 1
8 b || 0 | 0 | 1
f a || 1 | 1 | 1
6 e || 0 | 0 | 1
a 6 || 1 | 1 | 1
3 f || 1 | 1 | 1
f 4 || 0 | 0 | 1
b 6 || 1 | 1 | 1
9 d || 0 | 0 | 1
5 5 || 1 | 1 | 1
9 4 || 1 | 1 | 1
a b || 1 | 1 | 1
c a || 1 | 1 | 1
3 6 || 1 | 1 | 1
7 a || 1 | 1 | 1
8 9 || 1 | 1 | 1
4 3 || 1 | 1 | 1
9 b || 1 | 1 | 1
9 d || 0 | 0 | 1
a 6 || 1 | 1 | 1
6 4 || 1 | 1 | 1
9 4 || 1 | 1 | 1
8 d || 0 | 0 | 1
e 8 || 0 | 0 | 1
d 9 || 0 | 0 | 1
6 a || 1 | 1 | 1
6 0 || 1 | 1 | 1
a e || 0 | 0 | 1
5 a || 0 | 0 | 1
7 6 || 1 | 1 | 1
6 6 || 1 | 1 | 1
c 6 || 0 | 0 | 1
e b || 0 | 0 | 1
9 a || 0 | 0 | 1
7 1 || 0 | 0 | 1
0 5 || 0 | 0 | 1
9 1 || 1 | 1 | 1
8 b || 0 | 0 | 1
c a || 0 | 0 | 1
8 9 || 0 | 0 | 1
e 6 || 1 | 1 | 1
a a || 1 | 1 | 1
e 8 || 1 | 1 | 1
8 a || 1 | 1 | 1
b 7 || 0 | 0 | 1
a 4 || 1 | 1 | 1
2 4 || 1 | 1 | 1
6 a || 0 | 0 | 1
2 d || 1 | 1 | 1
4 a || 1 | 1 | 1
1 e || 0 | 0 | 1
b f || 1 | 1 | 1
6 5 || 0 | 0 | 1
b 8 || 1 | 1 | 1
b 2 || 1 | 1 | 1
d b || 0 | 0 | 1
e d || 1 | 1 | 1
8 1 || 1 | 1 | 1
1 b || 0 | 0 | 1
3 6 || 0 | 0 | 1
2 4 || 1 | 1 | 1
8 2 || 0 | 0 | 1
9 5 || 1 | 1 | 1
b 1 || 0 | 0 | 1
7 1 || 1 | 1 | 1
4 8 || 0 | 0 | 1
4 2 || 0 | 0 | 1
1 5 || 1 | 1 | 1
b 5 || 1 | 1 | 1
7 4 || 0 | 0 | 1
7 9 || 1 | 1 | 1
b 9 || 1 | 1 | 1
1 a || 1 | 1 | 1
5 3 || 0 | 0 | 1
2 e || 0 | 0 | 1
f 6 || 1 | 1 | 1
8 0 || 0 | 0 | 1
6 5 || 1 | 1 | 1
4 9 || 1 | 1 | 1
c a || 0 | 0 | 1
5 1 || 1 | 1 | 1
3 9 || 0 | 0 | 1
5 1 || 1 | 1 | 1
a 7 || 1 | 1 | 1
c 1 || 0 | 0 | 1
6 7 || 1 | 1 | 1
c 5 || 1 | 1 | 1
0 2 || 0 | 0 | 1
d d || 1 | 1 | 1
9 e || 0 | 0 | 1
b f || 1 | 1 | 1
3 d || 1 | 1 | 1
4 5 || 1 | 1 | 1
d 2 || 1 | 1 | 1
d 2 || 1 | 1 | 1
6 c || 0 | 0 | 1
7 a || 1 | 1 | 1
a c || 0 | 0 | 1
a b || 1 | 1 | 1
5 2 || 1 | 1 | 1
9 4 || 0 | 0 | 1
b c || 0 | 0 | 1
6 9 || 1 | 1 | 1
0 c || 0 | 0 | 1
7 a || 0 | 0 | 1
8 b || 0 | 0 | 1
c 3 || 1 | 1 | 1
9 9 || 1 | 1 | 1
4 7 || 0 | 0 | 1
0 2 || 1 | 1 | 1
9 0 || 1 | 1 | 1
3 3 || 0 | 0 | 1
8 d || 1 | 1 | 1
4 b || 0 | 0 | 1
2 2 || 1 | 1 | 1
0 e || 1 | 1 | 1
b 6 || 0 | 0 | 1
0 f || 0 | 0 | 1
